,entityName,state,year,quarter,count,amount
266,guntur,andhra-pradesh,2018,3,1912529,3127764663.180438
267,anantapur,andhra-pradesh,2018,3,1815215,2681787750.464165
268,ysr,andhra-pradesh,2018,3,1557444,2235904512.2542048
269,west godavari,andhra-pradesh,2018,3,1431282,2309078492.805815
270,prakasam,andhra-pradesh,2018,3,1319651,2346453445.4838424
271,518502,andhra-pradesh,2018,3,1300146,709765829.9649723
272,533437,andhra-pradesh,2018,3,421968,240766495.05853492
273,518501,andhra-pradesh,2018,3,296154,291247918.8462258
274,517501,andhra-pradesh,2018,3,295403,466133618.6014985
275,515001,andhra-pradesh,2018,3,276595,438158383.2247275
276,530016,andhra-pradesh,2018,3,234494,380410223.19526947
277,517507,andhra-pradesh,2018,3,233347,386563858.6898683
278,516259,andhra-pradesh,2018,3,220165,109844218.671292
279,520011,andhra-pradesh,2018,3,213275,291805923.00111276
280,520001,andhra-pradesh,2018,3,206435,371140000.30740225
281,visakhapatnam,andhra-pradesh,2018,4,4791421,7366635864.849373
282,chittoor,andhra-pradesh,2018,4,3166201,4979093890.223491
283,east godavari,andhra-pradesh,2018,4,3052762,4652624623.436675
284,krishna,andhra-pradesh,2018,4,2839161,5416251838.130407
285,guntur,andhra-pradesh,2018,4,2546620,4730251217.696959
286,kurnool,andhra-pradesh,2018,4,2508530,3626544852.4069242
287,anantapur,andhra-pradesh,2018,4,2286391,3975878156.329829
288,spsr nellore,andhra-pradesh,2018,4,1814997,3293448556.973445
289,ysr,andhra-pradesh,2018,4,1732527,3252340063.2478595
290,prakasam,andhra-pradesh,2018,4,1692862,3255254226.03728
291,518502,andhra-pradesh,2018,4,441662,332201263.2829269
292,517501,andhra-pradesh,2018,4,423357,714887920.0334857
293,530016,andhra-pradesh,2018,4,367619,575982481.3389585
294,515001,andhra-pradesh,2018,4,355695,651952970.9302757
295,517507,andhra-pradesh,2018,4,318300,594747982.0458119
296,530003,andhra-pradesh,2018,4,277131,356075793.85855436
297,516001,andhra-pradesh,2018,4,269798,572252390.1920383
298,520010,andhra-pradesh,2018,4,250261,492229977.1570112
299,530017,andhra-pradesh,2018,4,248725,326891428.60271376
300,518501,andhra-pradesh,2018,4,248520,357423401.5571966
301,visakhapatnam,andhra-pradesh,2019,1,9690866,13459857440.552685
302,chittoor,andhra-pradesh,2019,1,6486813,8223371732.233585
303,krishna,andhra-pradesh,2019,1,5443981,9061346433.072681
304,east godavari,andhra-pradesh,2019,1,5440146,7382264724.59952
305,guntur,andhra-pradesh,2019,1,4846553,7765934169.404485
