,name,registeredUsers,state,year,quarter
314,515001,75171,andhra-pradesh,2019,1
315,516001,68514,andhra-pradesh,2019,1
316,518002,66689,andhra-pradesh,2019,1
317,530026,61623,andhra-pradesh,2019,1
318,516360,60798,andhra-pradesh,2019,1
319,520010,59055,andhra-pradesh,2019,1
320,524002,55931,andhra-pradesh,2019,1
321,visakhapatnam,1318740,andhra-pradesh,2019,2
322,krishna,952300,andhra-pradesh,2019,2
323,east godavari,945181,andhra-pradesh,2019,2
324,chittoor,925491,andhra-pradesh,2019,2
325,guntur,915256,andhra-pradesh,2019,2
326,anantapur,695114,andhra-pradesh,2019,2
327,kurnool,680118,andhra-pradesh,2019,2
328,west godavari,592185,andhra-pradesh,2019,2
329,spsr nellore,558303,andhra-pradesh,2019,2
330,prakasam,539462,andhra-pradesh,2019,2
331,517501,113033,andhra-pradesh,2019,2
332,517507,97534,andhra-pradesh,2019,2
333,530016,87556,andhra-pradesh,2019,2
334,515001,84157,andhra-pradesh,2019,2
335,516001,76617,andhra-pradesh,2019,2
336,518002,75952,andhra-pradesh,2019,2
337,530026,68283,andhra-pradesh,2019,2
338,516360,66885,andhra-pradesh,2019,2
339,520010,66082,andhra-pradesh,2019,2
340,524002,62933,andhra-pradesh,2019,2
341,visakhapatnam,1460464,andhra-pradesh,2019,3
342,krishna,1066546,andhra-pradesh,2019,3
343,east godavari,1057167,andhra-pradesh,2019,3
344,chittoor,1032733,andhra-pradesh,2019,3
345,guntur,1026418,andhra-pradesh,2019,3
346,anantapur,773656,andhra-pradesh,2019,3
347,kurnool,755024,andhra-pradesh,2019,3
348,west godavari,662102,andhra-pradesh,2019,3
349,spsr nellore,619592,andhra-pradesh,2019,3
350,prakasam,598568,andhra-pradesh,2019,3
351,517501,124727,andhra-pradesh,2019,3
352,517507,108199,andhra-pradesh,2019,3
353,530016,97323,andhra-pradesh,2019,3
354,515001,93191,andhra-pradesh,2019,3
355,518002,84918,andhra-pradesh,2019,3
356,516001,84693,andhra-pradesh,2019,3
357,530026,74501,andhra-pradesh,2019,3
358,516360,73267,andhra-pradesh,2019,3
359,520010,72722,andhra-pradesh,2019,3
360,524002,69783,andhra-pradesh,2019,3
361,visakhapatnam,1620235,andhra-pradesh,2019,4
362,krishna,1199971,andhra-pradesh,2019,4
363,east godavari,1195228,andhra-pradesh,2019,4
364,guntur,1158708,andhra-pradesh,2019,4
365,chittoor,1156351,andhra-pradesh,2019,4
366,anantapur,873033,andhra-pradesh,2019,4
367,kurnool,846885,andhra-pradesh,2019,4
368,west godavari,750078,andhra-pradesh,2019,4
369,spsr nellore,697154,andhra-pradesh,2019,4
370,prakasam,673522,andhra-pradesh,2019,4
371,517501,136436,andhra-pradesh,2019,4
372,517507,119146,andhra-pradesh,2019,4
373,530016,106404,andhra-pradesh,2019,4
374,515001,102848,andhra-pradesh,2019,4
375,516001,94209,andhra-pradesh,2019,4
376,518002,94193,andhra-pradesh,2019,4
377,516360,81619,andhra-pradesh,2019,4
378,530026,81191,andhra-pradesh,2019,4
379,520010,79453,andhra-pradesh,2019,4
380,524002,77681,andhra-pradesh,2019,4
381,visakhapatnam,1763581,andhra-pradesh,2020,1
382,krishna,1331602,andhra-pradesh,2020,1
383,east godavari,1329664,andhra-pradesh,2020,1
384,guntur,1289678,andhra-pradesh,2020,1
385,chittoor,1270907,andhra-pradesh,2020,1
386,anantapur,971850,andhra-pradesh,2020,1
387,kurnool,936293,andhra-pradesh,2020,1
