,name,state,year,quarter,count,amount
345,longding district,arunachal-pradesh,2018,4,6581,22545311.85089966
346,west siang district,arunachal-pradesh,2018,4,3813,14013986.244825875
347,kamle district,arunachal-pradesh,2018,4,247,361497.05682825705
348,upper siang district,arunachal-pradesh,2018,4,1041,2157332.9473089008
349,tirap district,arunachal-pradesh,2018,4,5725,10811742.670586085
350,papum pare district,arunachal-pradesh,2018,4,55224,154875448.20778143
351,kurung kumey district,arunachal-pradesh,2018,4,444,759686.7195777439
352,anjaw district,arunachal-pradesh,2018,4,273,495578.19942643447
353,siang district,arunachal-pradesh,2018,4,822,2176630.237443937
354,lower siang district,arunachal-pradesh,2018,4,2883,4533291.201383284
355,kra daadi district,arunachal-pradesh,2018,4,750,3254327.442489025
356,changlang district,arunachal-pradesh,2018,4,13950,32343047.413952358
357,pakke kessang district,arunachal-pradesh,2018,4,297,462143.5189972004
358,dibang valley district,arunachal-pradesh,2018,4,40,97205.28808666342
359,west kameng district,arunachal-pradesh,2018,4,25439,89194886.84322134
360,shi yomi district,arunachal-pradesh,2018,4,61,42483.80153055695
361,east siang district,arunachal-pradesh,2018,4,12893,34272134.344916776
362,upper subansiri district,arunachal-pradesh,2018,4,2686,8771042.079749444
363,east kameng district,arunachal-pradesh,2018,4,1750,5936855.710462087
364,lohit district,arunachal-pradesh,2018,4,14268,40510521.949797615
365,lepa rada district,arunachal-pradesh,2018,4,932,3023578.1893019043
366,tawang district,arunachal-pradesh,2018,4,11104,35921510.89403269
367,namsai district,arunachal-pradesh,2018,4,7244,17643523.29373534
368,lower dibang valley district,arunachal-pradesh,2019,1,6314,13738776.18143886
369,lower subansiri district,arunachal-pradesh,2019,1,4994,12615032.122891838
370,longding district,arunachal-pradesh,2019,1,7287,25349462.055245366
371,west siang district,arunachal-pradesh,2019,1,5921,19426751.301233895
372,kamle district,arunachal-pradesh,2019,1,391,725807.1059240355
373,upper siang district,arunachal-pradesh,2019,1,1154,2756678.3077581595
374,tirap district,arunachal-pradesh,2019,1,6877,14075747.836402504
375,papum pare district,arunachal-pradesh,2019,1,70941,188556716.3567257
376,kurung kumey district,arunachal-pradesh,2019,1,740,2076644.1215012982
377,anjaw district,arunachal-pradesh,2019,1,2116,4643030.795590812
378,siang district,arunachal-pradesh,2019,1,1282,2552682.037255951
379,lower siang district,arunachal-pradesh,2019,1,3565,6923301.927893572
380,kra daadi district,arunachal-pradesh,2019,1,1070,3797175.4842446605
381,changlang district,arunachal-pradesh,2019,1,17589,40239141.669717625
382,pakke kessang district,arunachal-pradesh,2019,1,545,1682922.8373646357
383,dibang valley district,arunachal-pradesh,2019,1,102,301591.38639926765
384,west kameng district,arunachal-pradesh,2019,1,34289,101333633.67604163
385,shi yomi district,arunachal-pradesh,2019,1,19,212989.63045272
386,east siang district,arunachal-pradesh,2019,1,15621,39284373.05409969
387,upper subansiri district,arunachal-pradesh,2019,1,3880,14105451.853243299
388,east kameng district,arunachal-pradesh,2019,1,2688,9107597.731491327
389,lohit district,arunachal-pradesh,2019,1,15896,42834776.778045304
390,lepa rada district,arunachal-pradesh,2019,1,1523,4054526.308789035
391,tawang district,arunachal-pradesh,2019,1,13102,39489779.13784294
392,namsai district,arunachal-pradesh,2019,1,8600,20065516.616355177
393,lower dibang valley district,arunachal-pradesh,2019,2,5819,13737167.7479776
394,lower subansiri district,arunachal-pradesh,2019,2,5579,14746949.652010633
395,longding district,arunachal-pradesh,2019,2,6744,23464027.892812617
396,west siang district,arunachal-pradesh,2019,2,8041,24549832.977181494
397,kamle district,arunachal-pradesh,2019,2,414,1136776.6962042823
398,upper siang district,arunachal-pradesh,2019,2,1079,3993676.3296563537
